|	|__content__sentence1	|__content__sentence2
news5	大家快點想辦法，用力傳出去！我是11/24大安區古亭國小選務人員，說好的明年1/11，還是我們原班人馬做選務。十月初，無聲無息，我打電話去問，我們整批都無預警被換掉了......奇怪的是，往年選務一直都是缺人的，怎麼今年在十月初也沒有對外公告，就一批人取代我們了！	就怕鄉下地方，沒人全程監票。一轉眼整箱票櫃換掉，或是一堆植物人躺床者的票，都被抽出來投給蔡英文，這些做手腳的方法很多、很容易的。重要：轉傳：
news14	林萬億向蔡簡報如后：１.18%在６年內要回歸到目前銀行利息【蔡裁示：提前４年內逐年完成】。２.月退休俸再打6折外，退休金只能領到80歲！ 【被砍3-4萬，再加上只能領到80歲，８0歲後不能再領退休金，這不負責的政策能接受嗎	】３.遺眷只能領退休金三分之一【原領二分之一】。４.遺眷有領年金、勞報年金退休金，不得再領。５.領退休金者，不得再兼其他工作，否則退休金停領。６.爾後退休人員的子女教育補助費刪除【限士官長以下】。以上林萬億已向蔡英文簡報，蔡也幫他背書。【這樣改革條件，爾後請個外勞或進住療養院，都不可能！】１月21、22日國是會議在台北世貿舉行【國是會議結束後，送立法院審核】。軍、公、教、警、消、勞的年金改革，最後決戰立法院！真不敢想，爾後若活到80歲還沒往生的，老了生病了，是否有尊嚴生存，是否會連累家人，真不敢面對！我們一定要認清這現實嚴苛，又沒人性的毀約改革，呼籲大家要團結，自己權益自己救，避免以後老了再後悔！請廣為傳知！讓這女人下台！
news18	這個政黨還能支持嗎	今天花三千萬元邀請世界各國同性戀者到台北遊行，殘害我們的下一代，你能接受嗎？
news19	您知道為何現在資源回收賣不到好價錢嗎	天啊！我們這個號稱重視環保的執政黨政府，竟然先把值錢的燃料棒送出去，再把大量的垃圾運進來！臺灣自己要禁用吸管、塑膠袋，卻大量進口歐、美、日的廢棄物，真正做到了「以美日興亡為己任，置臺灣死生於度外。」現在，連菲律賓、泰國的廢棄物都送來臺灣處理，真是悲哀啊！根據報導，今年至今，共進來了4萬個貨櫃的廢棄物，難怪進口數字經濟一片榮景！
news20	煤氣著火是先滅火還是先關閥呢	很重要的常識。一定要看。
news21	請勿在煤氣爐附近放置手機 最好不要將手機放入廚房	少量洩漏會導致災難。
news22	這是什麼小學課本內容，是誰讓台灣墮落、沈淪	如果台灣人民再選這麼爛的政黨繼續執政，那中華民國真的是要亡國了!
news27	真人有翅膀你們有看過嗎	是真人真事。
news29	中寮鄉永康永大路這段，今早拍攝近日小心為要、!地層可能有變……是否為大地震的前兆	?物(蚯蚓)生存在地底下，有超乎人類的感知能力，大家都不得不預防！
news30	昨晚香港黃大仙被暴徒打傷的老人家延至今早離世，天理何在，有人發聲嗎	記者看著老人家被打，只有拍攝沒有阻止暴徒沒有拯救老人家，真可惡！此新聞有媒體報導嗎？有人為此默哀嗎？暴徒殺人呀????蔡政府還力挺這群香港暴徒，如果明天這些暴徒轉入台灣怎麼辦？
news44	它被稱為世界上最小的有毒蛇，經常在青椒中發現	在你開始使用之前，請務必切開你的青椒，即使它是用於研磨的，因為它有毒或用於沙拉。 願我們不要成為環境的犧牲品。 懇請你分享以拯救生命。
news45	我的朋友的姊姊一家就去了上海，在Costco附近。她?中國報紙頭條：當天Costco烤了一千支烤雞，可是結賬只賣三百支。那七百支烤雞呢	當天開門收了四萬名會員，擠進了八萬多人購物。半天後先?門休業。在男女廁所的垃圾桶及其它空空如也的貨架上，到處都是烤雞骨頭，滿廁所垃圾桶！這下找到那七百支烤雞了。您相信嗎？她?這可不是笑話！丟死人了！消息封鎖內地！
news50	昏倒在浴室我們總是聽到人們在洗澡時摔倒後中風等。為什麼我們不曾聽說摔在其他地方	當我參加一個健康的生活方式課程時，一位也參與課程的國家體育理事會教授勸告，在洗澡時不要先洗頭，理應先清洗身體其他部位。這是因為當頭部潮濕和寒冷時，血液將流向頭部取暖。如果血管收窄，很可能會導致血管破裂。由於通常都發生在浴室裡，請務必提高醒覺，以避免這種情況再發生。1.淋濕先從腳底開始。2.小腿。3.大腿。4.腹部。5.肩膀。6.暫停5-10秒。??我們會感覺像是有蒸汽/風從體內溢出來似的，然後像往常一樣照常洗澡。?智慧：就像一個裝滿熱水的玻璃杯，然後用冷水填充。發生了什麼事？玻璃會破裂?!!!??如果我們的身體......什麼破裂了？我們的體溫很熱，水很冷，所以如果我們直接淋浴身體或頭部，由於血管破裂，風應該會被困住或致命。??這就是為什麼我們經常看到人們突然摔倒浴室。由於錯誤的沐浴方法，我們可能會中風，或導致偏頭痛。??這種沐浴方式適合所有年齡段，特別是那些患有糖尿病、高血壓、膽固醇和偏頭痛/頭痛的人??不要吝嗇知識，請分享出去..
news51	哪些藥九有毒，你知道多少	終於有西醫肯告訴大家各種西藥有什麼副作用了，難得有醫生這樣說...止痛藥易忽略疾病的警訊，且慢性造成免疫力（自愈力）低下，提高患癌的可能性。胃藥抑制胃酸分泌，導致消化功能下降，阻礙營養素吸收，容易患腸胃炎等感染症。●安眠藥??會造成白血球功能降低，免疫力低下，出現癡呆症狀，也容易變成藥物依賴症。●退燒藥??助長病毒攻擊力，感冒遲遲無法痊癒，造成體力流失，免疫力也跟著下降。●抗生素??只能消滅細菌，無法消滅病毒，也會攻擊體內內的有益細菌，破壞腸道環境。●降高血壓藥??造成自立程度下降失去活力，缺乏集中力，腦袋不清楚，腳步不穩，排尿困難。●降膽固醇藥??抑制體內輔?Q10產生，身體無法順利製造能量。●降血糖藥??傷害肝腎功能，長期造成肝功能異常，腎功能敗壞，致使洗腎。越早知道藥物真相越好，藥愈吃，病癒難好！一一請關心自己和家人的健康！
news55	"請大家千萬認真看此文。我就有朋友手抖但醫生找不出原因? 下面文章是轉傳的:這種油(芥花子油)，個人是親身体驗，1992年開始，在Sydney超市 標示Low Cholesterol? 的 ""margarine "" 買用， 因怕Butter的味"	"?而 Cooking oil 也用 CanolaOil. 。。一直到2006 年回台健檢(40開始，每2年),? 發?：血小板太少(<10萬?位，只有7万多)，?手會抖動，合谷肌萎?，拿筷子都不穩。 林欣?醫師說我有：輕微巴金遜症。 原因？唯一判定是年?因素！?我不服，回Sydney ?GP推介到 St.Vincent 神?外科及神?病理科詳?檢查，確認 並非 巴金遜症，而是神?腺衰弱，引致肌肉萎?。?手進行Nerve fibres reposition 開刀，術後?手已正常，迄今?止。不過原因仍不詳。百思不解。 及2009年慈濟青年 Email 群? Phoebe Post :Canola oil 的?導，我才發?：我的這些症? 跟Canola oil 有關，尤其 血小板無法提升，立即改用Olive Oil 或Rice oil. 真的血小板一直提升， ?過6年才達低標125k ?位以上。??? 血小板不足的毛病：1)流血時不易止血2) 傷口或肌肉傷的恢復????? 很?，?織修補困難????? 導致肌肉萎?。3) Nerve fibres(神?絲)??? 衰弱，精神-反應差等?以上是我個人親身体驗，希望台?鄉親趕快棄用Canola Oil.? 或ShortOil. 以免受害。P.S.? 今年初返台，在台北超市 發現 “芥花子油”排?油架，詳看英文，竟然是Canola oil ? 無良商人 ！Canola 是基因改造 植物，芥花籽油是 Brassica或Rapeseed oil.? 怎?可以 冒用呢？? 食?署或農委會 是誰的責任？(forbidden)請copy 給所有群組芥花油 (Canola oil) 歐洲已禁止 ~~會破壞心，腎，腎上腺，甲狀腺，神經系統再沒時間都要看一看，芥花油的問題！"
news56	你瞭解什麼是「送中」	你「反送中」是在反什麼？你知道嗎？台大法學博士呂教授對反送中的解讀可愛的台灣庶民好，我是台大法學博士呂教授，為避免被抹紅我還是保守一下我的名字！！以免到時候~我又被一些政客貼標籤！！還好我沒有進入“中聯辦“否則台灣就被我賣掉了做為一位法學研究員的我有社會的責任為正義發聲！來簡單說明給你們進一步的了解，以免一些一知半解的人跟著瞎起鬨，反送中“混淆視聽，我在此疾呼：“反送中台灣不能變為明日的香港“這個口號！是民進黨在操作，簡直笑掉所有有良心法學人的下巴！！*去年一位香港男士到台灣島殺人了，逃回香港，所以無罪，台灣司法只能呼口號。香港政府為補救這個漏洞，才增訂可以“共同打擊犯罪“的地區。台灣島的送報生被喝醉酒的英國人撞死，英國人被判刑四年，他跑回英國，台灣司法也莫可奈何，這叫做台灣有尊嚴嗎？台獨的綠色腦癡，到底在想什麼或“爽“甚麼？喜歡被【老外】捅著玩嗎？我想藉這個機會給廣大善良的台灣人民，解釋反送中條例的認識以免被民進黨藉著唯一的機會來騙取選票！                                                        第一，逃犯條例本來在香港回歸之前就有，這次只是【增修】，因為之前這條例香港只與20個司法管轄區簽有移交逃犯的引渡條約，卻不包括中國大陸，澳門和台灣，這次是把中國大陸，澳門和台灣加進去而已。第二，增修條例草案明確規定只適用於移交時必須是37種國際公認刑事犯罪，且刑期都在7年或以上的罪犯。第三，必須要特區法院和特首雙批准後，才能實施移交。第四，增修條例草案明確規定“八不移交“明確說明移動的罪犯不涉及與言論自由相關的行為，即不涉及新聞，言論，學術，出版等方面的行為。第五，促成這次增修條例草案的原因之一是：香港人陳同佳在台灣殺害女友潘曉穎，殺人犯陳同佳逃回香港，卻由於台灣不在逃犯條例範疇內，所以台灣政府無法引渡陳同佳回台灣接受法律制裁！！經過這樣的說明後，你們有很清楚的了解，那些民進黨的政客藉著這個香港的抗議活動，藉著一般人民對於條例內文不懂在扯什麼政治犯，司法獨立權和法治等操作以騙取選票！！*有部分香港人在“反對“的送中條例是甚麼？你知道嗎？簡單的解釋如下：1)就是：現在香港人，在中國大陸，台灣，澳門犯罪只要逃回香港，不但不必遣送回大陸，台灣，澳門受審，連在香港都不能審判 (因為在當地沒犯罪)，請問這樣台灣有尊嚴嗎？2)更有趣的是：香港人在馬來西亞，新加坡等英國前殖民地區或英國本土犯罪，卻要遣送去英國當地受審！！3)這本來就是很詭異的司法狀態，請問“這樣子香港有回歸嗎？還是香港人喜歡繼續當“英屬殖民地“呢？4)蘇貞昌藉著“意識型態“讓不懂條例的人，藉著自由時報及深綠的媒體渲染，也跟著香港人“反送中“ 目的在操作為著2020的總統大選欺騙人民的選票！還講了一堆：“台灣不能成為~“明日的香港“？這是“無知“沒道德的政客！不擇手段的大騙子！5)韓國瑜只講了「不瞭解香港反送中」的問題。就被一些“政治陰謀“的綠色律師，罵得狗血噴頭！大力的操作騙取選票！為著不要繼續被“操作“我在百忙之中來為正義的人民解釋！6)蘇貞昌和這些民進黨的政客在睜眼說瞎話。因為台灣早就有“送中條例“，它的全名叫做：【海峽兩岸共同打擊犯罪及司法互助協議」】！！從2009年簽訂至今已十多年了！蔡英文及綠營的立委們，妳們現在是完全多數完全執政，有本事就把這條法律作廢啊！？為甚麼妳們還要欺騙那些綠營的選民及台灣善良的老百姓呢？如果在九合一妳們的慘敗還不夠！相信台灣人民會在2020再次的翻轉，讓民進黨再次的挫敗！老天爺將不再為台灣人民哭泣！請轉傳讓更多人看到民進黨邪惡的真面目！
