|	|__content__sentence1	|__content__sentence2
news2	"別忘了明天開始新的facebook規則, 在那裡他們可以使用你的照片。不要忘記今天的截止日期!!"	"它可以在法庭案件中使用, 對你提起訴訟。你釋出過的所有東西都從今天開始, 甚至是被刪除的訊息或不允許的照片。【我對Facebook的聲明】我自2019年7月7日星期日起，我不同意Facebook使用本人的照片，我的發文信息及我的出版物，無論是過去和未來，我自己的或是有我曾經在Facebook所出現的任何有關我的訊息。通過以上聲明，我在此通知Facebook，我嚴禁Facebook揭露，複製，分發，送人，賣給他人有關我的資料，照片，或採取對我任何其他操作此配置的文件和/或其內容，我的禁止包括且不限於以上未列出的方式。此文件的內容是隱私和機密。如Facebook 違反聲明者的隱私，聲明者可以主張Facebook違反聲明者本國法律及UCC1-308-11308-103和羅馬規約等公約，進行聲明者權利的各項維護行為。備注：現在Facebook是一個公共實體。所有成員都必須張貼一張如上聲明。如果你願意，你可以複製並貼上此版本聲明在Facebook上。如果你不發布聲明至少一次，你就等同默許Facebook可以使用你的照片，以及包含在配置文件的狀態更新信息。不要用共享的方式聲明，你必須用複製和貼上這篇聲明。From Sunday 7th, July 2019, I refuse to allow Facebook to use my pictures, my information or my publications, both of the past and the future, mine Or the ones where I appear. By this statement, I give my notice to Facebook it is strictly forbidden to disclose, copy, distribute, give, sell my information, photos or take any other action against me on the basis of this profile and / or its contents. The content of this profile is private and confidential information. The violation of privacy can be punished by law (UCC 1-308-1 1 308-103 and the Rome statute).Note: Facebook is now a public entity. All members must post a note like this. If you prefer, you can copy and paste this version.If you do not publish a statement at least once, you've given the tacit agreement allowing the use of your photos, as well as the information contained in the updates of state of profile.Do not share. You have to copy & paste/ post. Above statement is just for those who believe me."
news5	特大新聞英國議員與美國總統川普合影後，當眾侮辱美國總統，被閃耳光英國議員。你見過總統打人嗎	讓你開開眼界。估計美國總統川普會給世界帶來許多想不到 ~
news6	美國民眾抗議川普的關?政策，全裸遊行 ……大家高喊：「?有了中國進口服裝，我們穿什麼」	……
news7	"三義勝興車站小火車7月份免費,大家可以去試乘來回1.5小時8月份開始每張票280元"	"\n8,在羅馬尼亞""......今天下的竟然是石頭雨。 真難以置信的！！"
news12	"北京大醫院醫生忠告：天太熱，以下內容好好看一看1. 有一位朋友來找我聊天，說到天氣很熱，在陽光底下，可以達到40度的溫度。我說：在40度的溫度下，如果瞬間喝冰水，微血管會爆掉。我的一個病人，就只是進了家門洗個冷水腳，他的眼睛就看不清楚了，然後就昏倒，只有耳朵聽得到聲音，他嚇壞了，來就診，是毛細血管突然收縮引起。2.最近溫度已經達到38度, 可是體感的溫度應該更高，如果這個時候, 因為太熱了, 喝冰水, 也有可能發生同樣的危險, 請大家一定要謹記在心！3.天氣熱，連洗手/洗臉/洗腳/都不行"	"不是只有不行喝冰水。需要在室內溫度適應30分鐘以後, 才可以慢慢喝冷水, 或是喝與體溫36度一樣的溫水。3.我見過一個身體非常壯碩的男性，遇見他也來做體檢，我驚訝發現他中風了，一手一腳不良於行，他告訴我說：「不久前大熱天的中午，回到家為了快速消暑，馬上就到浴室內淋冷水澡，當下覺得嘴巴合不起來，立刻叫救護車送醫才撿回一命，但一手一腳不聽使喚」，大熱天忌沖冷水消暑，會引起血管急速收縮，轉知家裡的小孩、大人都要注意一下！最近天氣異常，太熱喝冷水/飲料，也不適合大口狂飲，宜用吸管慢慢飲用降溫，愛家人，請傳遞出去。"
news17	習近平 下令 宣布台灣地區戒嚴 6/23將全日衛星監控『凱道活動』在中美對峙態勢下，眼下香港已成習近平最大的治理難題。6月12日香港武裝警察暴力驅離群眾，煙霧瀰漫的金鐘街頭，彷彿戰爭前線。民怨難消，全城沸騰。6月16日下午，香港200萬人一起走上街頭，跨世代的香港人大聲疾呼：「撤回條例！」、「林鄭下台！」即便政府讓步，暫緩《逃犯條例》草案修法，仍難以收復人心。香港將成為「北京最頭痛的邊疆」	"正當香港餘火未滅之時，時代力量立委黃國昌、館長陳之漢共同發起「拒絕紅色媒體 守護台灣民主」遊行，將於23日在凱道舉行。黃國昌在16日在臉書表示自己無法負擔經費，發起民眾募款支持，並在一個小時內火速達標，截至17日上午已超額達成，金額1,895,081元。剛結束 馬達加斯加 外訪行程的習近平與其核心幕僚得知「拒絕紅色媒體 守護台灣民主」募款，竟能在一小時內達標，習近平在看完後神情凝重，對台灣與香港局勢深感憂心，並首度發聲「香港與台灣局勢有已成共振效應，有失控的危險」。對此習近平已經針對中國台灣地區 宣布『一國兩制 天眼戒嚴』的衛星監控行動。將於6/23日全時以多枚衛星即時監控台灣特首府前『凱達格蘭大道廣場』，於此段時間進出的人員，將會經由『人臉辨識系統』直接列為中國優先通緝之『台獨黑名單』～習近平並對台灣民眾喊話：『香港反中與台灣反中，皆為部分港獨與台獨人士煽動，企圖污衊『一國兩制』的美好，6/23敬請台灣民眾務必『不要出席』「拒絕紅色媒體 守護台灣民主」遊行，參與 即是與中國做對之行為，日後兩岸統一 將會悔之莫及』～"
news22	部分香港人在【反對】的「送中條例」是甚麼	講白了就是：現在香港人，在中國大陸、台灣、澳門犯罪只要逃回香港，不但不必遣送 陸、台、澳 受審，連在香港都不能審判(因為在當地沒犯罪)有趣的是：香港人在馬來西亞、新加坡等英國前殖民地區或英國本土犯罪，卻要遣送去當地受審。這本來就是很詭異的司法狀態，香港有回歸嗎？還是香港人喜歡當【英屬】殖民地？蘇貞昌和一群綠色白癡人，也跟著香港人「反送中」還講了一堆：「台灣不能成為【明日】香港」韓國瑜只講了，「不瞭解香港反送中」的問題。就被ㄧ些不三不四的綠色律師，罵得狗血噴頭！蘇貞昌和這些台獨綠色白癡人，在睜眼說瞎話。台灣早就有「送中條例」，全名叫做：【「海峽兩岸共同打擊犯罪及司法互助協議」】2009年簽訂至今已十年，綠營的立委，有本事就把這條法律作廢。-----------------------------------------------PS：去年，一位香港男士到台灣島殺人了，逃回香港，所以無罪，台灣司法只能呼口號。港府為補救這個漏洞，才增訂可以共同打擊犯罪的地區。台灣島的送報生被喝醉酒的英國人撞死，英國人判刑四年，他跑回英國，台灣司法也莫可奈何，這叫做---->台灣有【尊嚴】？給法盲普及常識：1. 逃犯條例本來在香港回歸之前就有，這次只是增修，因為之前這條條例香港只與20個司法管轄區簽有移交逃犯的引渡條約，卻不包括中國大陸、澳門和台灣，這次是把中國大陸、澳門和台灣加進去。2. 增修條例草案明確規定只適用於移交必須是37種國際公認刑事犯罪，且刑期都在7年或以上的罪犯。3. 必須要特區法院和特首雙批准才能實施移交。4. 增修條例草案明確規定「八不移交」，明確說明移動的罪犯不涉及與言論相關的行為，即不涉及新聞、言論、學術、出版等方面行為。5. 促成這次增修條例草案的原因之一是香港人陳同佳在台灣殺害女友潘曉穎，卻由於台灣不在逃犯條例範疇內無法引渡回審。看懂沒？法盲都不看條例內文在那邊扯什麼政治犯、司法獨立權和法治，到底懂不懂法治？
news29	會氣死川普了！華為與杜拜簽署了超大的5G合同	該訂單接近五百億元，在未來5年，為杜拜網絡建設領先於世界的5G工程。 為了慶祝這個時刻，杜拜國王決定免費在（第一高塔）哈利法塔，為華為最新旗艦手機P30Pro 投放3分鐘專屬廣告(1分鐘200萬美金)，這個廣告是杜拜國王免費送給華為的。
news34	請大家切記，千千萬萬要拔除電源再使用手機，至少接聽電話一定要移除電源，沒有任何訊息比頭部重要。要告訴孩子， 手機怕熱喔 	這名孩子將手機放在枕頭下，爆炸後  慘不忍睹 !
news35	日本政府決定在今年年底之前處理國內所有微波爐，所有不能響應要求的公民和組織機構都要受到罰款和監禁的懲罰	日本禁止使用微波爐是因為廣島大學的科學家們的一項研究，他們發現無線電波在過去20年對公民的健康造成了更大的傷害，使用微波爐的危害甚至超過了美國1945年9月在廣島和長崎投放的原子彈。 相關專家表明，微波爐加熱的食物含有非常不健康的輻射。 因此，日本所有大量制造這種產品的大微波爐工廠即將關閉。 韓國發表聲明：2021年，微波爐生產即將停止。中國也計劃在2023年禁用這項技術。 一場關於預防癌癥的會議在Kashira癌癥治療中心舉行，會議最後指出，這些食品應該避免食用： 1. 精煉油 2. 動物源奶(建議飲用豆奶) 3. 塊狀加工食品(雞湯香料如麥琪之類) 4. 汽水(每升32塊糖) 5. 精制糖 6. 微波爐加熱食品 7. 嬰兒出生前不做乳房X線檢查，超聲心動圖除外。 8. 非常緊身的內褲胸罩 9. 酒精 10. 溶解冷凍食品，再冷凍 11. 喝從冰箱裏拿出來的塑料瓶裝水 12. 避孕藥。它改變了女性的荷爾蒙系統從而引發癌癥。 13. 剃須後使用的專用除臭劑，容易致癌。 14.各種白糖( 癌癥細胞在糖分滋養下最容易滋生)癌癥患者應盡量避免食用糖。 會議建議日常飲食中應增加： 1. 蔬菜 2.用蜂蜜代替糖  3. 植物蛋白質 (豆類代替肉) 4. 刷牙前空腹喝兩杯與體溫相同的水 5. 食物應該加熱但不要溫度太高 6.蘆薈汁+生姜+歐芹+芹菜+肉豆蔻素。我們建議空腹混合著喝下。 7. 每天喝胡蘿卜汁 8. 番茄大蒜洋蔥和肉一起食用 註 : 美國醫師協會發現了引發癌癥的原因 1.不喝塑料杯子中的茶、咖啡或任何熱的飲品。 2.不要吃任何包在紙裏的或塑料袋子中的熱食(如炸薯條) 3. 不要吃塑料盒中的食品或微波食品。 我們要註意以下幾點：當塑料暴露在高溫下時，產生的化學物質能引起52種癌癥。因此，您必須避免飲用各種軟飲料，如可樂、百事可樂、AV、芬達等所有濃縮果汁。 4 吃新鮮菠蘿但不要喝與可樂混合的菠蘿汁，這種混合飲料是致命的。 5 接電話用左耳，適度使用耳機。 6 不要用冷水吃藥 7. 7點以後不要吃難消化的食物 8. 早晨多喝水，晚上少喝水 9. 進食後不要立即保持水平位置（躺下/睡覺） 10. 當你的電話要沒電的時候，不要拿起手機，因為此時手機比滿電視輻射要強1000倍。 與你深愛的人分享這篇文章吧
